District,Suburbs,Max Results
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",0
Steglitz-Zehlendorf,"[('Zehlendorf', 194), ('Lankwitz', 152)]",45
Steglitz-Zehlendorf,"[('Schmargendorf', 176), ('Dahlem', 127)]",18
Tempelhof-Schöneberg,"[('Tempelhof', 183), ('Mariendorf', 160), ('Tempelhof-Schöneberg', 85094)]",89
Tempelhof-Schöneberg,"[('Siemensstadt', 179), ('Lichtenrade', 154)]",15
Tempelhof-Schöneberg,"[('Friedenau', 129)]",46
Friedrichshain-Kreuzberg,"[('Friedrichshain-Kreuzberg', 85079)]",77
Friedrichshain-Kreuzberg,"[('Friedrichshain', 132), ('Kreuzberg', 151)]",627
Spandau,"[('Pichelsdorf', 85088), ('Wilhelmstadt', 85096), ('Kladow', 148)]",10
Spandau,"[('Hakenfelde', 85082), ('Gatow', 134)]",8
Spandau,"[('Staaken', 85091), ('Spandau', 180)]",38
Spandau,"[('Stadtrandsiedlung Malchow', 85092)]",7
Mitte,"[('Wedding', 189), ('Mitte', 163), ('Tiergarten', 184), ('Gesundbrunnen', 85080)]",509
Mitte,"[('Moabit', 85086)]",135
Treptow-Köpenick,"[('Karolinenhof', 145)]",7
Treptow-Köpenick,"[('Johannisthal', 143), ('Müggelheim', 164), ('Grünau', 135), ('Niederschöneweide', 166)]",25
Treptow-Köpenick,"[('Altglienicke', 115)]",12
Treptow-Köpenick,"[('Bohnsdorf', 120)]",9
Treptow-Köpenick,"[('Wilhelmshagen', 191), ('Schöneberg', 178), ('Treptow', 185)]",187
Treptow-Köpenick,"[('Plänterwald', 85089)]",13
Treptow-Köpenick,"[('Friedrichshagen', 131)]",12
Treptow-Köpenick,"[('Adlershof', 114), ('Oberschöneweide', 169)]",63
Treptow-Köpenick,"[('Plänterwald', 85089), ('Adlershof', 114), ('Oberschöneweide', 169)]",68
Treptow-Köpenick,"[('Johannisthal', 143), ('Schöneberg', 178), ('Bohnsdorf', 120), ('Rahnsdorf', 172)]",167
Treptow-Köpenick,"[('Treptow', 185), ('Wilhelmshagen', 191), ('Altglienicke', 115)]",40
Treptow-Köpenick,"[('Müggelheim', 164), ('Köpenick', 150), ('Niederschöneweide', 166)]",46
Treptow-Köpenick,"[('Baumschulenweg', 116), ('Grünau', 135), ('Friedrichshagen', 131), ('Hessenwinkel', 141)]",30
Treptow-Köpenick,"[('Karolinenhof', 145)]",7
Lichtenberg,"[('Neu-Hohenschönhausen', 85087), ('Wartenberg', 188), ('Friedrichsfelde', 130)]",23
Lichtenberg,"[('Alt-Hohenschönhausen', 85076), ('Lichtenberg', 153), ('Falkenberg', 128), ('Karlshorst', 144)]",0
Lichtenberg,"[('Alt-Hohenschönhausen', 85076), ('Lichtenberg', 153), ('Falkenberg', 128), ('Karlshorst', 144)]",146
Lichtenberg,"[('Rummelsburg', 85090), ('Hohenschönhausen', 142), ('Malchow', 158)]",17
Marzahn-Hellersdorf,"[('Mahlsdorf', 157), ('Hellersdorf', 139), ('Marzahn', 162)]",32
Marzahn-Hellersdorf,"[('Kaulsdorf', 147), ('Marzahn-Hellersdorf', 85085)]",17
Marzahn-Hellersdorf,"[('Biesdorf', 117)]",15
Pankow,"[('Karow', 146), ('Weißensee', 190), ('Niederschönhausen', 167)]",48
